siren,2016,2017,2018,2019,2020,2021,PRED2020,PRED2021,VARIA2020,VARIA2021,EVO20-21,PRED6_2022,EVOPRED6_2022,siret,naf,ri,F_1_4,F_2_2,F_2_4,F_3_3
300157682,6146105,6106077.0,3333240,6706791,5995233.0,5630012,5300358.5,5191280.6,0.131099528,0.084513135,-0.046586393,5698965.067000001,0.01224741,30015768200034,27.11Z,5077.61,7.2,8.86,2.25,3.61
300157682,6146105,6106077.0,3333240,6706791,5995233.0,5630012,5300358.5,5191280.6,0.131099528,0.084513135,-0.046586393,5698965.067000001,0.01224741,30015768200059,27.11Z,5077.61,7.2,8.86,2.25,3.61
300221728,7944000,7542545.0,7687139,8179843,8539485.0,9831407,8051412.5,8136624.8,0.060619488,0.208290568,0.14767108,9579459.067,-0.025626844,30022172800011,38.21Z,4021.27,1.4,10.0,2.4,0.75
300344975,3355803,3019805.0,3066240,3031842,2185898.0,2929531,2887060.5,2794515.7,-0.242863806,0.048314382,0.291178188,2464771.933,-0.158646236,30034497500044,25.11Z,3988.08,3.3,10.0,2.17,0.74
300484607,6709565,5407855.0,4804070,4050249,2290153.0,1587005,3097501.5,2239328.2,-0.260645072,-0.291303079,-0.030658008,569510.1333,-0.641141563,30048460700019,13.99Z,3113.79,3.0,3.08,2.34,2.56
300571080,8934508,10549592.0,12466353,14002897,14681352.0,16880260,15768819.5,17481012.3,-0.068963152,-0.03436599,0.034597162,18285218.73,0.08323087,30057108000039,15.12Z,4479.21,3.8,9.63,2.36,2.59
300576774,73395270,57092167.0,94766905,69948345,58159154.0,84630299,80634162.5,83367558.8,-0.27872812,0.015146662,0.293874781,76454444.6,-0.096606706,30057677400099,58.11Z,2198.57,0.5,0.0,1.71,0.39
300685609,9210137,10086533.0,9140052,8682361,8124156.0,11984098,8647318.5,8394337.6,-0.060499969,0.427640699,0.488140668,10290387.8,-0.141329802,30068560900012,30.12Z,3809.75,0.2,10.0,2.27,0.19
300718590,5893880,5819662.0,6553035,7048922,6862807.0,6991713,7378499.5,7798349.4,-0.069891243,-0.103436812,-0.033545569,7439785.2,0.064086183,30071859000023,22.23Z,3997.65,5.8,5.48,2.46,2.67
300747029,21710786,24363136.0,26940964,28306214,33119419.0,32824639,30921303.0,33157714.2,0.071087431,-0.01004518,-0.081132611,36197862.73,0.102764991,30074702900019,10.13A,8056.14,4.6,10.0,5.38,4.81
300773603,17118460,17555020.0,17528000,18789696,16506129.0,16380095,18994466.0,19493134.8,-0.131003262,-0.159699291,-0.028696029,16755219.8,0.022901259,30077360300026,25.93Z,6205.37,10.0,5.3,2.27,7.67
300882131,4111227,5183904.0,4910802,4940102,4432482.0,4429687,5339889.5,5561241.8,-0.169930014,-0.203471606,-0.033541591,4604767.4,0.039524328,30088213100018,28.93Z,2809.06,0.4,3.94,2.21,0.17
300883378,8318017,9470980.0,9907754,9521414,9854054.0,10866958,10316282.5,10720979.0,-0.044805723,0.013616201,0.058421924,11007288.2,0.012913476,30088337800063,17.21A,7414.49,10.0,1.93,7.32,10.0
301011805,5630717,7203265.0,8313494,8930753,7916903.0,15946077,10272141.5,11373175.2,-0.229284079,0.402077847,0.631361926,14423698.8,-0.095470391,30101180500027,38.32Z,2207.54,0.7,0.0,2.49,0.37
301099909,8052167,12698228.0,12118453,10852769,12905024.0,16611240,12885912.0,13668115.1,0.00148317,0.215327781,0.213844611,16421320.4,-0.011433198,30109990900030,25.11Z,3988.08,3.3,10.0,2.17,0.74
301126785,2056981,2490495.0,3127801,4025895,3053058.0,2493303,4561305.0,5215709.8,-0.330661291,-0.521962859,-0.191301568,3351328.133,0.344131914,30112678500015,14.19Z,2928.25,0.6,4.22,2.33,0.67
301169447,9042386,9852366.0,10451705,11422638,12378300.0,13498184,12127297.5,12901307.0,0.020697315,0.046264847,0.025567532,14190369.0,0.051279861,30116944700028,10.12Z,4201.65,1.4,9.23,2.74,1.57
301296588,11024465,13334137.0,13165656,12921502,11377759.0,14669414,13992097.5,14544360.5,-0.186843931,0.008598075,0.195442006,13959967.87,-0.048362268,30129658800033,22.22Z,4669.31,9.6,0.0,2.51,9.09
301312930,15683566,17975982.0,15442914,22017602,22406514.0,24594452,21897276.0,23544180.0,0.023255769,0.044608561,0.021352792,26128909.73,0.062390401,30131293000037,11.01Z,2445.34,2.2,0.0,2.36,2.32
